From,To,Imax
n1,n2,528.5998749
n2,n3,465.4029509
n2,n19,47.76499895
n3,n4,333.2429143
n3,n23,122.47464
n4,n5,318.4336093
n5,n6,345.3780969
n6,n7,144.5199772
n6,n26,176.3633983
n7,n8,122.47464
n8,n9,95.53006321
n9,n10,88.18159304
n10,n11,79.60839254
n11,n12,73.48468209
n12,n13,63.68674146
n13,n14,55.11356817
n14,n15,36.74234105
n15,n16,28.16912223
n16,n17,20.82065194
n17,n18,12.73736789
n19,n20,36.74234105
n20,n21,24.49490252
n21,n22,12.49239516
n23,n24,112.6765554
n24,n25,56.33822231
n26,n27,159.2167067
n27,n28,156.7674799
n28,n29,146.969534
n29,n30,126.8833866
n30,n31,61.23726904
n31,n32,39.19188988
n32,n33,8.818159304
